vsweep	V(qneg)
0.000000000000000e+000	9.994302e-001
1.000000000000000e-002	9.992237e-001
2.000000000000000e-002	9.989457e-001
3.000000000000000e-002	9.985729e-001
4.000000000000000e-002	9.980755e-001
5.000000000000000e-002	9.974146e-001
6.000000000000001e-002	9.965412e-001
7.000000000000001e-002	9.953932e-001
8.000000000000000e-002	9.938937e-001
9.000000000000000e-002	9.919486e-001
9.999999999999999e-002	9.894459e-001
1.100000000000000e-001	9.862556e-001
1.200000000000000e-001	9.822320e-001
1.300000000000000e-001	9.772170e-001
1.400000000000000e-001	9.710466e-001
1.500000000000000e-001	9.635562e-001
1.600000000000000e-001	9.545870e-001
1.700000000000000e-001	9.439899e-001
1.800000000000000e-001	9.316258e-001
1.900000000000000e-001	9.173632e-001
2.000000000000000e-001	9.010715e-001
2.100000000000001e-001	8.826126e-001
2.200000000000001e-001	8.618268e-001
2.300000000000001e-001	8.385164e-001
2.400000000000001e-001	8.124223e-001
2.500000000000001e-001	7.831931e-001
2.600000000000001e-001	7.503400e-001
2.700000000000001e-001	7.131825e-001
2.800000000000001e-001	6.708375e-001
2.900000000000001e-001	6.225561e-001
3.000000000000001e-001	5.690114e-001
3.100000000000001e-001	5.128325e-001
3.200000000000001e-001	4.562473e-001
3.300000000000001e-001	4.002504e-001
3.400000000000001e-001	3.453270e-001
3.500000000000001e-001	2.919136e-001
3.600000000000002e-001	2.408157e-001
3.700000000000002e-001	1.943181e-001
3.800000000000002e-001	1.571955e-001
3.900000000000002e-001	1.307594e-001
4.000000000000002e-001	1.117314e-001
4.100000000000002e-001	9.725732e-002
4.200000000000002e-001	8.573633e-002
4.300000000000002e-001	7.624958e-002
4.400000000000002e-001	6.827721e-002
4.500000000000002e-001	6.143924e-002
4.600000000000002e-001	5.549125e-002
4.700000000000003e-001	5.025869e-002
4.800000000000003e-001	4.561228e-002
4.900000000000003e-001	4.145395e-002
5.000000000000002e-001	3.770770e-002
5.100000000000002e-001	3.431359e-002
5.200000000000002e-001	3.122366e-002
5.300000000000003e-001	2.839901e-002
5.400000000000003e-001	2.580784e-002
5.500000000000003e-001	2.342384e-002
5.600000000000003e-001	2.122516e-002
5.700000000000003e-001	1.919356e-002
5.800000000000003e-001	1.731371e-002
5.900000000000003e-001	1.557274e-002
6.000000000000003e-001	1.395987e-002
6.100000000000003e-001	1.246602e-002
6.200000000000003e-001	1.108361e-002
6.300000000000003e-001	9.806332e-003
6.400000000000004e-001	8.628918e-003
6.500000000000004e-001	7.546988e-003
6.600000000000004e-001	6.556854e-003
6.700000000000004e-001	5.655330e-003
6.800000000000004e-001	4.839541e-003
6.900000000000004e-001	4.106724e-003
7.000000000000004e-001	3.454019e-003
7.100000000000004e-001	2.878279e-003
7.200000000000004e-001	2.375909e-003
7.300000000000004e-001	1.942737e-003
7.400000000000004e-001	1.573966e-003
7.500000000000004e-001	1.264196e-003
7.600000000000005e-001	1.007527e-003
7.700000000000005e-001	7.977384e-004
7.800000000000005e-001	6.285168e-004
7.900000000000005e-001	4.936961e-004
8.000000000000005e-001	3.874805e-004
8.100000000000005e-001	3.046178e-004
8.200000000000005e-001	2.405079e-004
8.300000000000005e-001	1.912431e-004
8.400000000000005e-001	1.535910e-004
8.500000000000005e-001	1.249371e-004
8.600000000000005e-001	1.032028e-004
8.700000000000006e-001	8.675751e-005
8.800000000000006e-001	7.433532e-005
8.900000000000006e-001	6.496086e-005
9.000000000000006e-001	5.788659e-005
9.100000000000006e-001	5.254217e-005
9.200000000000006e-001	4.849422e-005
9.300000000000006e-001	4.541472e-005
9.400000000000006e-001	4.305645e-005
9.500000000000006e-001	4.123384e-005
9.600000000000006e-001	3.980823e-005
9.700000000000006e-001	3.867638e-005
9.800000000000007e-001	3.776181e-005
9.900000000000007e-001	3.700803e-005
1.000000000000000e+000	3.637344e-005
