run	-(I(V1)+I(V3))
1.000000000000000e+000	1.310855e-009
2.000000000000000e+000	9.649457e-010
3.000000000000000e+000	1.824433e-009
4.000000000000000e+000	3.498739e-009
5.000000000000000e+000	2.621479e-009
6.000000000000000e+000	3.136651e-010
7.000000000000000e+000	3.287078e-008
8.000000000000000e+000	1.114975e-009
9.000000000000000e+000	1.558869e-009
1.000000000000000e+001	1.824717e-008
1.100000000000000e+001	1.259314e-009
1.200000000000000e+001	8.109477e-009
1.300000000000000e+001	4.192234e-009
1.400000000000000e+001	2.845799e-010
1.500000000000000e+001	1.581496e-008
1.600000000000000e+001	1.120339e-009
1.700000000000000e+001	2.012024e-008
1.800000000000000e+001	2.755932e-008
1.900000000000000e+001	4.774115e-010
2.000000000000000e+001	6.631512e-009
2.100000000000000e+001	6.474125e-009
2.200000000000000e+001	1.021165e-008
2.300000000000000e+001	1.669586e-009
2.400000000000000e+001	2.873334e-009
2.500000000000000e+001	5.597304e-009
2.600000000000000e+001	5.989408e-010
2.700000000000000e+001	3.836444e-009
2.800000000000000e+001	8.139244e-009
2.900000000000000e+001	4.305530e-008
3.000000000000000e+001	2.202279e-008
3.100000000000000e+001	1.192873e-009
3.200000000000000e+001	7.097415e-010
3.300000000000000e+001	1.460393e-008
3.400000000000000e+001	1.017296e-008
3.500000000000000e+001	1.552997e-009
3.600000000000000e+001	1.499404e-009
3.700000000000000e+001	3.799143e-010
3.800000000000000e+001	1.520086e-009
3.900000000000000e+001	3.721667e-009
4.000000000000000e+001	8.790435e-010
4.100000000000000e+001	1.444851e-008
4.200000000000000e+001	1.693226e-008
4.300000000000000e+001	9.668405e-009
4.400000000000000e+001	1.383306e-009
4.500000000000000e+001	2.417424e-009
4.600000000000000e+001	3.063006e-009
4.700000000000000e+001	1.040405e-009
4.800000000000000e+001	4.467469e-010
4.900000000000000e+001	2.784202e-010
5.000000000000000e+001	3.944903e-010
5.100000000000000e+001	1.242310e-009
5.200000000000000e+001	6.317170e-009
5.300000000000000e+001	2.410433e-008
5.400000000000000e+001	1.052328e-009
5.500000000000000e+001	4.262415e-009
5.600000000000000e+001	1.913127e-009
5.700000000000000e+001	8.006587e-009
5.800000000000000e+001	4.590672e-009
5.900000000000000e+001	3.505417e-008
